+-------+-----+-------+------+-----+-----+--------+----------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |                                 URI                                  |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
| 191   | 0   | 26    | 165  | 0   | 0   | GET    | /owner                                                               | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000      | 704.000    | 18304.000    | 95.832     |
| 2     | 0   | 2     | 0    | 0   | 0   | GET    | /                                                                    | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 615.000    | 704.000    | 1319.000     | 659.500    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /lib/phpunit/phpunit/Util/PHP/eval-stdin.php                         | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /lib/phpunit/phpunit/src/Util/PHP/eval-stdin.php                     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /phpunit/Util/PHP/eval-stdin.php                                     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /phpunit/src/Util/PHP/eval-stdin.php                                 | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /phpunit/phpunit/Util/PHP/eval-stdin.php                             | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /phpunit/phpunit/src/Util/PHP/eval-stdin.php                         | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php           | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /vendor/phpunit/phpunit/LICENSE/eval-stdin.php                       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /vendor/phpunit/Util/PHP/eval-stdin.php                              | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /vendor/phpunit/src/Util/PHP/eval-stdin.php                          | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /vendor/phpunit/phpunit/Util/PHP/eval-stdin.php                      | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | GET    | /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php                  | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
| 1     | 0   | 0     | 0    | 1   | 0   | POST   | /hello.world                                                         | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 162.000    | 162.000    | 162.000      | 162.000    |
+-------+-----+-------+------+-----+-----+--------+----------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
